Area,value
City of London,157000
Barking and Dagenham,26700
Barnet,48600
Bexley,32300
Brent,34100
Bromley,44000
Camden,88000
Croydon,33800
Ealing,37300
Enfield,34600
Greenwich,37500
Hackney,40600
Hammersmith and Fulham,66600
Haringey,39900
Harrow,38400
Havering,33900
Hillingdon,34300
Hounslow,39900
Islington,59500
Kensington and Chelsea,171000
Kingston upon Thames,44500
Lambeth,43900
Lewisham,35900
Merton,53200
Newham,28200
Redbridge,35500
Richmond upon Thames,67000
Southwark,45400
Sutton,35500
Tower Hamlets,46600
Waltham Forest,30300
Wandsworth,64900
Westminster,107000
