Area,value
City of London,148000
Barking and Dagenham,27400
Barnet,49500
Bexley,33500
Brent,35400
Bromley,45500
Camden,92600
Croydon,35600
Ealing,39700
Enfield,36200
Greenwich,40200
Hackney,43100
Hammersmith and Fulham,73200
Haringey,43800
Harrow,39000
Havering,35700
Hillingdon,35900
Hounslow,40300
Islington,62100
Kensington and Chelsea,177000
Kingston upon Thames,48700
Lambeth,45600
Lewisham,36800
Merton,54600
Newham,30000
Redbridge,37100
Richmond upon Thames,69000
Southwark,48600
Sutton,36900
Tower Hamlets,46600
Waltham Forest,31900
Wandsworth,67900
Westminster,124000
