Area,value
City of London,144000
Barking and Dagenham,25500
Barnet,45800
Bexley,30200
Brent,31200
Bromley,40400
Camden,79200
Croydon,32600
Ealing,35300
Enfield,34400
Greenwich,34800
Hackney,37100
Hammersmith and Fulham,62000
Haringey,39500
Harrow,37000
Havering,32100
Hillingdon,32300
Hounslow,36800
Islington,56800
Kensington and Chelsea,158000
Kingston upon Thames,43600
Lambeth,41100
Lewisham,32400
Merton,46900
Newham,25400
Redbridge,33900
Richmond upon Thames,64600
Southwark,41600
Sutton,33600
Tower Hamlets,41800
Waltham Forest,28200
Wandsworth,59200
Westminster,104000
