Area,value
City of London,131000
Barking and Dagenham,23700
Barnet,41000
Bexley,28600
Brent,28300
Bromley,37200
Camden,71200
Croydon,30700
Ealing,32600
Enfield,30800
Greenwich,31500
Hackney,32700
Hammersmith and Fulham,54300
Haringey,35400
Harrow,33300
Havering,30600
Hillingdon,30100
Hounslow,32200
Islington,48400
Kensington and Chelsea,131000
Kingston upon Thames,39900
Lambeth,37600
Lewisham,30400
Merton,44400
Newham,23100
Redbridge,31800
Richmond upon Thames,58800
Southwark,37500
Sutton,32400
Tower Hamlets,39000
Waltham Forest,26200
Wandsworth,54700
Westminster,92200
