Area,value
City of London,127000
Barking and Dagenham,22500
Barnet,38800
Bexley,27400
Brent,26700
Bromley,35900
Camden,67100
Croydon,29000
Ealing,30700
Enfield,29000
Greenwich,30000
Hackney,29500
Hammersmith and Fulham,52000
Haringey,32900
Harrow,31100
Havering,29000
Hillingdon,28400
Hounslow,30800
Islington,47600
Kensington and Chelsea,128000
Kingston upon Thames,35500
Lambeth,34200
Lewisham,29300
Merton,43100
Newham,21700
Redbridge,29400
Richmond upon Thames,56300
Southwark,35400
Sutton,29100
Tower Hamlets,37400
Waltham Forest,24400
Wandsworth,50700
Westminster,83400
