Area,value
City of London,142000
Barking and Dagenham,25900
Barnet,49000
Bexley,30900
Brent,32600
Bromley,43500
Camden,85000
Croydon,34200
Ealing,37000
Enfield,34600
Greenwich,37300
Hackney,40200
Hammersmith and Fulham,69700
Haringey,41700
Harrow,38500
Havering,33600
Hillingdon,33900
Hounslow,38400
Islington,58900
Kensington and Chelsea,178000
Kingston upon Thames,45800
Lambeth,43700
Lewisham,34500
Merton,50800
Newham,27300
Redbridge,35300
Richmond upon Thames,67300
Southwark,44200
Sutton,35400
Tower Hamlets,45000
Waltham Forest,29400
Wandsworth,63600
Westminster,109000
